epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,346.929,1.01878,0.58193,0.85297,0.94657,0.88368,0.95193,0.72166,0.79865,0.51711,0.85575,0.000768802,0.000768802,0.000768802
72,352.041,1.01159,0.58335,0.84748,0.93225,0.88983,0.94418,0.71367,0.80139,0.52126,0.8578,0.000759371,0.000759371,0.000759371
73,357.007,1.00119,0.57817,0.85216,0.94048,0.88452,0.95284,0.71737,0.79168,0.52196,0.84993,0.000749939,0.000749939,0.000749939
74,362.119,1.00177,0.57535,0.85004,0.93728,0.89931,0.94837,0.72493,0.78273,0.51919,0.85482,0.000740508,0.000740508,0.000740508
75,367.333,1.01669,0.57265,0.85116,0.93763,0.8943,0.95057,0.71771,0.82306,0.52711,0.85775,0.000731076,0.000731076,0.000731076
76,372.388,1.03447,0.58401,0.85325,0.92761,0.89645,0.9464,0.72408,0.78299,0.52843,0.85078,0.000721645,0.000721645,0.000721645
77,377.581,1.02671,0.5826,0.84534,0.93404,0.89573,0.95316,0.73139,0.78509,0.50554,0.85055,0.000712214,0.000712214,0.000712214
78,383.114,1.00222,0.57346,0.84366,0.93463,0.90675,0.95481,0.73087,0.75721,0.4986,0.84555,0.000702782,0.000702782,0.000702782
79,388.138,0.98781,0.56611,0.84997,0.93788,0.9052,0.95666,0.73733,0.76542,0.50432,0.85039,0.000693351,0.000693351,0.000693351
80,393.365,0.98045,0.56575,0.84633,0.93805,0.89137,0.95197,0.73218,0.7635,0.49712,0.84675,0.000683919,0.000683919,0.000683919
81,398.408,0.9921,0.57067,0.84817,0.94392,0.89311,0.95031,0.72888,0.76646,0.50768,0.84702,0.000674488,0.000674488,0.000674488
82,403.473,0.98891,0.56989,0.85068,0.93911,0.8964,0.95257,0.72214,0.79772,0.51464,0.85294,0.000665057,0.000665057,0.000665057
83,408.667,0.98872,0.56947,0.84438,0.94006,0.90113,0.95652,0.73044,0.77095,0.50894,0.84603,0.000655625,0.000655625,0.000655625
84,414.346,0.98463,0.56876,0.84812,0.93754,0.89559,0.94885,0.72305,0.76876,0.49487,0.84887,0.000646194,0.000646194,0.000646194
85,419.283,0.97875,0.55561,0.84776,0.94325,0.88343,0.94813,0.73221,0.77225,0.49546,0.84974,0.000636762,0.000636762,0.000636762
86,424.483,0.99066,0.56319,0.84587,0.93752,0.88554,0.94756,0.7222,0.77848,0.50776,0.84724,0.000627331,0.000627331,0.000627331
87,429.379,0.96681,0.54791,0.83714,0.95398,0.895,0.95325,0.73566,0.75508,0.48845,0.84693,0.0006179,0.0006179,0.0006179
88,434.338,0.97074,0.55216,0.84178,0.95013,0.89028,0.94973,0.73511,0.74489,0.48965,0.84398,0.000608468,0.000608468,0.000608468
89,439.421,0.96844,0.55576,0.8393,0.9375,0.90431,0.95261,0.73569,0.7581,0.49655,0.84539,0.000599037,0.000599037,0.000599037
90,444.362,0.97619,0.55629,0.84596,0.93332,0.91053,0.94857,0.72735,0.77049,0.49761,0.84876,0.000589605,0.000589605,0.000589605
91,449.261,0.97191,0.55639,0.84279,0.9438,0.88752,0.94741,0.72536,0.77054,0.48627,0.85669,0.000580174,0.000580174,0.000580174
92,454.237,0.97942,0.55841,0.84381,0.94574,0.89347,0.95008,0.72845,0.78889,0.50022,0.84931,0.000570743,0.000570743,0.000570743
93,459.091,0.97871,0.5596,0.84191,0.95586,0.89247,0.95117,0.73467,0.75467,0.49195,0.84373,0.000561311,0.000561311,0.000561311
94,463.963,0.94923,0.5413,0.83797,0.94972,0.90655,0.95706,0.74945,0.73219,0.48365,0.84458,0.00055188,0.00055188,0.00055188
95,469.12,0.96729,0.55397,0.84002,0.94233,0.89018,0.95258,0.73016,0.77577,0.50291,0.84646,0.000542448,0.000542448,0.000542448
96,474.01,0.97303,0.54481,0.83807,0.9509,0.89349,0.94946,0.72285,0.77971,0.49593,0.84772,0.000533017,0.000533017,0.000533017
97,478.838,0.96586,0.54828,0.84071,0.93608,0.89975,0.95545,0.73484,0.77623,0.49509,0.84897,0.000523586,0.000523586,0.000523586
98,483.892,0.96547,0.55309,0.8433,0.94802,0.88844,0.95629,0.73473,0.76554,0.49511,0.84546,0.000514154,0.000514154,0.000514154
99,488.867,0.94932,0.54055,0.83818,0.94647,0.90276,0.95575,0.72824,0.7813,0.49868,0.84543,0.000504723,0.000504723,0.000504723
100,493.778,0.97863,0.55193,0.84332,0.94221,0.88988,0.94715,0.73419,0.76357,0.49278,0.84518,0.000495291,0.000495291,0.000495291
101,498.831,0.97923,0.55078,0.8424,0.94535,0.90349,0.95506,0.73104,0.7816,0.49226,0.84671,0.00048586,0.00048586,0.00048586
102,503.74,0.96407,0.54306,0.83649,0.95012,0.89082,0.94818,0.7383,0.74563,0.48119,0.84634,0.000476429,0.000476429,0.000476429
103,508.655,0.9463,0.54228,0.83454,0.94145,0.8944,0.95561,0.73824,0.76715,0.49568,0.84631,0.000466997,0.000466997,0.000466997
104,513.966,0.955,0.54078,0.83729,0.94217,0.90118,0.95133,0.73631,0.75251,0.48887,0.84942,0.000457566,0.000457566,0.000457566
105,518.956,0.946,0.53903,0.83749,0.9542,0.89236,0.95338,0.73349,0.75704,0.47855,0.84702,0.000448134,0.000448134,0.000448134
106,523.946,0.93866,0.53239,0.83827,0.9454,0.90487,0.95104,0.73979,0.74591,0.48082,0.84581,0.000438703,0.000438703,0.000438703
107,529.073,0.9415,0.53828,0.83637,0.94378,0.89999,0.95238,0.73782,0.76081,0.49772,0.84575,0.000429272,0.000429272,0.000429272
108,534.058,0.94346,0.54149,0.83829,0.94077,0.90027,0.94948,0.73818,0.75304,0.48462,0.85391,0.00041984,0.00041984,0.00041984
109,539.067,0.94884,0.54011,0.83715,0.94624,0.90236,0.95264,0.74157,0.75818,0.48201,0.84739,0.000410409,0.000410409,0.000410409
110,544.244,0.95303,0.53461,0.83211,0.9461,0.89191,0.95346,0.73603,0.76844,0.49446,0.84623,0.000400977,0.000400977,0.000400977
111,549.274,0.94965,0.53756,0.83674,0.93512,0.91126,0.95129,0.73628,0.75245,0.48343,0.84774,0.000391546,0.000391546,0.000391546
112,554.289,0.94038,0.52741,0.83531,0.93715,0.90402,0.95229,0.73562,0.74732,0.48946,0.84665,0.000382115,0.000382115,0.000382115
113,559.516,0.93296,0.53106,0.83558,0.94347,0.89522,0.95366,0.74191,0.75,0.48955,0.84429,0.000372683,0.000372683,0.000372683
114,564.518,0.95749,0.53943,0.83139,0.94328,0.90069,0.95296,0.7377,0.73878,0.47871,0.84195,0.000363252,0.000363252,0.000363252
